specName,End,Start
dalhousiei_Protentelloides,23.8,25.7
primitiva_Protentelloides,23.8,26.3
opima_Paragloborotalia,27.1,30.3
galavisi_Dentoglobigerina,27.2,39
gortanii_Subbotina,27.2,39.1
sp2_Subbotina,27.2,33.8
pseudovenezuelana_Dentoglobigerina,27.4,35.4
angiporoides_Subbotina,28.5,42.3
euapertura_Globoturborotalita,30.25,32.65
collactea_Acarinina,30.3,50.45
gnaucki_Globoturborotalita,30.3,35.3
martini_Globoturborotalita,30.3,44
utilisindex_Subbotina,30.3,35.4
ampliapertura_Turborotalia,30.3,35
increbescens_Turborotalia,30.3,39.2
echinata_Acarinina,31.8,43.2
naguewichiensis_Pseudohastigerina,32,35.8
corpulenta_Subbotina,32.1,47.25
micra_Pseudohastigerina,32.2,48.1
eocaena_Subbotina,32.2,50.7
sp1_Subbotina,32.6,34.1
sp_Dentoglobigerina,32.9,33.9
howei_Catapsydrax,33.7,44.35
inflata_Cribrohantkenina,33.7,36.4
quadrocameratus_Globorotaloides,33.7,55.2
alabamensis_Hantkenina,33.7,39.8
compressa_Hantkenina,33.7,41.2
nanggulanensis_Hantkenina,33.7,38.1
primitiva_Hantkenina,33.7,40
griffinoides_Paragloborotalia,33.7,55.45
jacksonensis_Subbotina,33.7,43.8
linaperta_Subbotina,33.7,52
yeguaensis_Subbotina,33.7,50.4
tropicalis_Globigerinatheka,33.8,39.1
cerroazulensis_Turborotalia,33.8,41.8
cocoaensis_Turborotalia,33.8,38.6
cunialensis_Turborotalia,33.8,34.1
eocanica_Clavigerinella,34,48.1
africanus_Catapsydrax,34.3,39
globiformis_Catapsydrax,34.3,40.4
index_Globigerinatheka,34.3,43.8
luterbacheri_Globigerinatheka,34.3,40.3
hagni_Subbotina,34.3,48.1
pomeroli_Turborotalia,34.6,43.2
korotkovi_Globigerinatheka,35.5,44.3
medizzai_Acarinina,35.8,42.5
semiinvoluta_Globigerinatheka,35.8,38.5
carcoselleensis_Turborotalita,35.9,44.4
mexicana_Globigerinatheka,36,44.4
barri_Globigerinatheka,36.3,44
altispiroides_Turborotalia,37.2,40.8
griffinae_Parasubbotina,37.3,48.4
mcgowrani_Acarinina,38,49.25
crassatus_Morozovelloides,38,45.9
capdevilensis_Planorotalites,38,50.4
senni_Subbotina,38,50.6
australis_Hantkenina,38.1,42.3
rohri_Acarinina,38.2,42.8
primitiva_Acarinina,38.8,50.8
dumblei_Hantkenina,39,43.9
sharkriverensis_Pseudohastigerina,39.3,48
subconglobata_Globigerinatheka,39.6,45.95
liebusi_Hantkenina,39.7,44.2
kugleri_Globigerinatheka,39.8,43.95
praetopilensis_Acarinina,40,48.7
beckmanni_Orbulinoides,40,40.5
crociapertura_Subbotina,40,46.4
coronatus_Morozovelloides,40.1,45.4
lehneri_Morozovelloides,40.1,44.65
euganea_Globigerinatheka,40.2,42.8
topilensis_Acarinina,40.3,43.2
bullbrooki_Acarinina,40.5,49
punctocarinata_Acarinina,40.5,47
pseudowilsoni_Parasubbotina,40.5,47.6
frontosa_Turborotalia,40.8,48.7
possagnoensis_Turborotalia,40.8,43.95
lehneri_Hantkenina,41.4,43.91
curryi_Globigerinatheka,41.6,44.41
pseudosubsphaerica_Acarinina,42.3,50.4
nuttalli_Guembelitrioides,42.3,46.4
bandyi_Morozovelloides,42.3,48.1
bassriverensis_Globoturborotalita,42.4,55.4
akersi_Clavigerinella,42.7,47.22
varianta_Parasubbotina,43,62.8
lozanoi_Praemurica,43,60.75
bolivariana_Pseudoglobigerinella,43.1,48.1
roesnaesensis_Subbotina,43.2,55.6
colombiana_Clavigerinella,43.3,47.4
jarvisi_Clavigerinella,43.3,47.25
wilcoxensis_Pseudohastigerina,43.3,55.3
anapetes_Igorina,43.6,45.4
aragonensis_Morozovella,43.6,52.3
boudreauxi_Acarinina,43.7,49.8
broedermanni_Igorina,43.7,55.6
australiformis_Globanomalina,43.8,55.88
mexicana_Hantkenina,43.8,44.41
crater_Morozovella,43.9,53.5
cuneicamerata_Acarinina,44,50.8
eoclava_Parasubbotina,44,49.25
singanoae_Hantkenina,44.4,44.5
caucasica_Clavigerinella,44.45,44.6
caucasica_Morozovella,45.15,50.8
patagonica_Subbotina,45.15,57
pseudoalgeriana_Planoglobanomalina,45.2,50.8
inaequispira_Parasubbotina,45.4,55.5
angulosa_Acarinina,46.4,55.7
soldadoensis_Acarinina,46.4,56.4
pseudoscitula_Planorotalites,46.4,55.9
alticonica_Acarinina,47,53.2
pentacamerata_Acarinina,47,52.3
pseudotopilensis_Acarinina,47.25,55.5
